week_start,n_comments,mean_compound,median_compound,std_compound,aspect
2024-06-17,266,0.28077067669172934,0.4008,0.4994353162691832,Verstappen
2024-06-24,555,-0.033485585585585585,0.0,0.510721872151934,Verstappen
2024-07-01,274,0.0645565693430657,0.0,0.5534256737015342,Verstappen
2024-07-08,2,0.6832,0.6832,0.3433710529441875,Verstappen
2024-07-15,243,0.1668082304526749,0.1779,0.5024447159405775,Verstappen
2024-07-22,274,0.15208576642335767,0.0,0.5057840558136885,Verstappen
2024-07-29,42,0.3103166666666667,0.4377,0.4945121862991588,Verstappen
2024-08-19,113,0.16493893805309737,0.1779,0.5086100440053735,Verstappen
2024-08-26,345,0.1741504347826087,0.1415,0.4843376102521382,Verstappen
2024-09-02,137,0.3695160583941606,0.4761,0.5381753580978613,Verstappen
2024-09-09,67,0.21959402985074628,0.1298,0.5266646906025253,Verstappen
2024-09-16,129,0.18062403100775193,0.2748,0.4731613250215237,Verstappen
2024-09-23,40,0.40839749999999997,0.5896,0.49655014851834434,Verstappen
2024-10-14,761,-0.058414060446780554,0.0,0.5171152447135955,Verstappen
2024-10-21,833,0.02453673469387755,0.0,0.5472683371140653,Verstappen
2024-10-28,1484,0.1919408355795148,0.21895,0.526477408591119,Verstappen
2024-11-04,635,0.24917086614173228,0.3182,0.5531582146719215,Verstappen
2024-11-11,1,0.4019,0.4019,,Verstappen
2024-11-18,146,0.35405205479452057,0.47404999999999997,0.458941555623924,Verstappen
2024-11-25,322,-0.0537555900621118,0.0,0.5308614795325801,Verstappen
2024-12-02,359,0.12551142061281337,0.0644,0.5236194776583196,Verstappen
2024-12-09,7,0.18508571428571427,0.0387,0.5677437139783273,Verstappen
2024-12-30,19,0.23529999999999998,0.3384,0.4948750369762272,Verstappen
2025-01-06,15,0.39164,0.5994,0.5093940052370352,Verstappen
2025-01-20,1,0.9072,0.9072,,Verstappen
2025-02-24,3,0.053766666666666664,0.0665,0.8246737314437348,Verstappen
2025-03-10,351,0.21016125356125356,0.2382,0.5118520767148271,Verstappen
2025-03-17,281,0.15883950177935943,0.1531,0.5182937457642359,Verstappen
2025-03-24,16,0.19477499999999998,0.0431,0.5337860064357876,Verstappen
2025-03-31,372,0.24588870967741935,0.2732,0.4822022293674676,Verstappen
2025-04-07,120,0.005040000000000001,0.0,0.5350688091146736,Verstappen
2025-04-14,74,0.22516486486486484,0.28459999999999996,0.48457363477157417,Verstappen
2025-04-21,3,0.12686666666666666,0.0,0.21973951245357157,Verstappen
2025-04-28,235,0.11431446808510638,0.0,0.46273498623087445,Verstappen
2025-05-05,303,0.12278052805280529,0.2023,0.5704541916333317,Verstappen
2025-05-12,153,0.3149660130718954,0.3612,0.45924785865520884,Verstappen
2025-05-19,91,0.04658351648351648,0.0,0.5019018091804492,Verstappen
2025-05-26,161,-0.04525714285714286,0.0,0.5271564297855862,Verstappen
2025-06-02,15,-0.21609333333333333,-0.5093,0.5961361571063475,Verstappen
2025-06-09,203,0.07902167487684729,0.0516,0.49796565741375937,Verstappen
2025-06-16,62,0.1114741935483871,0.0,0.5029217779465764,Verstappen
2025-06-23,31,0.13395806451612904,0.0,0.5487357772031961,Verstappen
2025-06-30,211,0.050390995260663506,0.0,0.5143824233874608,Verstappen
2025-07-07,76,0.0028078947368421116,0.0,0.5596920321660613,Verstappen
2025-07-21,82,0.1587658536585366,0.24235,0.5236526615331424,Verstappen
2025-07-28,39,0.19554102564102566,0.0,0.4292601080672041,Verstappen
2025-08-25,80,0.3722025,0.46704999999999997,0.499312139499831,Verstappen
2025-09-01,508,0.19771358267716535,0.20400000000000001,0.4620074616154185,Verstappen
2025-09-08,57,0.21027719298245612,0.2778,0.5770635205867548,Verstappen
2025-09-15,449,0.28160356347438753,0.3365,0.49824017814825206,Verstappen
2025-09-22,20,0.31394,0.45825000000000005,0.5217490064046223,Verstappen
2025-09-29,262,0.11685839694656489,0.0387,0.5068503554521212,Verstappen
2025-10-06,88,0.1908147727272727,0.296,0.6577061508103302,Verstappen
2025-10-13,1118,0.23873568872987477,0.296,0.5005062830025164,Verstappen
2025-10-20,255,0.25550392156862745,0.296,0.5145060265178081,Verstappen
2025-10-27,20,0.019115000000000004,0.0028,0.5732597576693814,Verstappen
2025-11-03,213,0.2547356807511737,0.357,0.4843013757866099,Verstappen
2025-11-10,4,0.2055,0.22010000000000002,0.194556487084514,Verstappen
2025-11-17,325,0.24954984615384618,0.2854,0.4545432041305562,Verstappen
2025-11-24,1022,0.1884055772994129,0.25,0.49864173399515394,Verstappen
2025-12-01,825,0.2811991515151515,0.3818,0.5303459468237556,Verstappen
2025-12-08,192,0.3090567708333333,0.50085,0.5854206110917931,Verstappen
2025-12-15,125,0.233296,0.3182,0.5451265633451704,Verstappen
2025-12-22,3,0.43173333333333336,0.6669,0.7053900646687147,Verstappen
2025-12-29,64,0.3055234375,0.3767,0.41550238046504984,Verstappen
2024-02-26,3,-0.28163333333333335,-0.3182,0.2652471740345848,Team mgmt
2024-03-04,2,-0.07355,-0.07355,0.249255140368258,Team mgmt
2024-03-18,2,0.2343,0.2343,0.40432365748246785,Team mgmt
2024-04-15,1,0.8748,0.8748,,Team mgmt
